,0,1,2,3,4,5,6,7,8,9
2,0.9161209040739949,0.9079134701464112,0.9295897616975659,0.9241248674638834,0.9209458346697212,0.922936761992268,0.9218378893289081,0.9217905909029745,0.9227456443373371,0.9218103582341514
5,0.8823195021489166,0.8736723806296481,0.8958865280886604,0.8773021802744482,0.8941166733993657,0.8788880179250376,0.8896160896939357,0.8882124764583115,0.8793678612360746,0.8993821587458819
10,0.8034439694860732,0.7942158689797995,0.8036255996052027,0.8089038775574077,0.8074787119883818,0.7852523102948984,0.8081070170750847,0.7996713561675639,0.7896265000022314,0.7864652637138712
15,0.7471136160957729,0.716532260447499,0.7471415311034579,0.7323781972063287,0.739097411608811,0.7275850595512318,0.7424045400835262,0.7164873191777708,0.7337389949646178,0.7396936628840358
20,0.6583986246991019,0.6669847785231431,0.6618789842462086,0.6499107061566465,0.6787766864993854,0.6646737726113319,0.6496565548565341,0.6683921451370737,0.6908154527488293,0.6486219762542279
25,0.5785698696275094,0.5722564818379187,0.5888885482684643,0.5826229015020611,0.5822121321077742,0.5970178406766656,0.5714773268766669,0.5526300117480238,0.559322835197274,0.5962421870405563
30,0.49677099640651745,0.49029220016767655,0.47982073916234796,0.4903416894406696,0.5154118288214655,0.5099682287829663,0.5041763999937997,0.5274510525994187,0.5046896798301146,0.5112273239061081
35,0.446849337074309,0.42946826518459635,0.4397971128679142,0.44198508656169744,0.41381300745957145,0.4501420302532687,0.4340836634064219,0.4227684869164596,0.4319231260170958,0.4211843472120161
40,0.347846207531244,0.34910893710625235,0.37784063801676654,0.35864220699382415,0.3575615246579608,0.3613586552099673,0.35254106731759355,0.3685044410764304,0.36046592129260463,0.3413944326973501
45,0.2725539854186749,0.27799214672883815,0.2874884097853213,0.28907708899289325,0.26929024283112885,0.27383281063402104,0.288443495773216,0.26512436025327457,0.24918360175309096,0.2927385690051184
50,0.19664036635593105,0.21934327547517232,0.2078738729044693,0.21223595174802387,0.22386807965418523,0.20417906236395542,0.19160116227248755,0.203263898468472,0.21666828382442901,0.20445247996463298
55,0.12720734290708774,0.14553437183535028,0.14162765387956286,0.11670054142668536,0.11448468857284241,0.14289285767152432,0.1428760882899811,0.13650101310926216,0.15686100452564505,0.13424668398637563
60,0.07247813580294586,0.06132850766002316,0.052855209770057504,0.05883829755321724,0.056600464045027624,0.0673224501353354,0.05804284067575622,0.05740944815559667,0.055354915811872706,0.061634055410149505
64,5.0025935527414924e-29,1.093386411340912e-28,3.162337177898127e-28,7.23490964765275e-28,1.1639953914648351e-28,3.9412049498467444e-28,3.0720411230733153e-28,3.017102517167819e-27,9.876776011634914e-26,2.0218002419810714e-26
